 #vapor
STAT  iter  ns  T  P  lnK1  lnK2  lnK3  y1  y2  y3
 SOL           3           1   542.82845738561764        1.6560631867754017E-007  -22.597334222067477       -9.3078369034598474        2.4813686696644317        9.5395370868252654E-011   2.6750254036983418E-005  0.99997324965056611     
 SOL           3           1   534.41831264551740        8.1254433820651077E-008  -23.310384023972308       -9.5769012469366377        2.4813749804050040        4.6757760968527440E-011   2.0439711004854285E-005  0.99997956024223611     
 SOL           3           1   526.18742794383923        3.9397801775733280E-008  -24.034596451744282       -9.8488712274522463        2.4813798476793463        2.2663774758997275E-011   1.5572548397349950E-005  0.99998442742893734     
 SOL           3           5   512.79333005619617        1.1415553743154728E-008  -25.272395234145574       -10.310828413939566        2.4813856088435204        6.5729914059647488E-012   9.8114734348073316E-006  0.99999018851999077     
 SOL           3           5   499.76116236385730        3.1646185067112006E-009  -26.552544502647422       -10.785001026310358        2.4813893136919920        1.8272640130970422E-012   6.1066591956420974E-006  0.99999389333897515     
 SOL           3           5   487.09062286986023        8.3933187832343987E-010  -27.875079634639306       -11.271309254977842        2.4813916654267074        4.8689082548087076E-013   3.7549374169597286E-006  0.99999624506209461     
 SOL           3           5   474.77957809773545        2.1297241858068720E-010  -29.240036175745651       -11.769680504926569        2.4813931391717903        1.2434791204895920E-013   2.2811971444859950E-006  0.99999771880272947     
 SOL           3           5   462.82437478966546        5.1698777785231697E-011  -30.647449565147788       -12.280048699164617        2.4813940510261712        3.0437335301379368E-014   1.3693445220697226E-006  0.99999863065544603     
 SOL           3           5   451.22011118635595        1.2005908770628344E-011  -32.097354912369120       -12.802353647676314        2.4813946081421743        7.1403703343601317E-015   8.1222914999127535E-007  0.99999918777084151     
 SOL           3           5   439.96087209414077        2.6672196592845436E-012  -33.589786818100421       -13.336540475669089        2.4813949442868952        1.6053354483519984E-015   4.7608465105908594E-007  0.99999952391534597     
 SOL           3           5   429.03993171434024        5.6684346674426132E-013  -35.124779232701250       -13.882559106312097        2.4813951445989035        3.4588128222160825E-016   2.7577271942767933E-007  0.99999972422727879     
 SOL           3           5   418.44992754747699        1.1523919678272343E-013  -36.702365351954356       -14.440363814792216        2.4813952625015809        7.1415110739481999E-017   1.5787006758616896E-007  0.99999984212993076     
 SOL           3           5   408.18301146213838        2.2411067205353055E-014  -38.322577509790136       -15.009912705661277        2.4813953310518340        1.4129959410623623E-017   8.9319823130080664E-008  0.99999991068017524     
 SOL           3           5   398.23097321776061        4.1691066639990620E-015  -39.985447166408740       -15.591167528168429        2.4813953704243512        2.6789573424723409E-018   4.9947308725824196E-008  0.99999995005268982     
 SOL           3           5   388.58535171239942        7.4188212094241628E-016  -41.691004823933284       -16.184093158294218        2.4813953927653887        4.8668898713762309E-019   2.7606272024044522E-008  0.99999997239372629     
 SOL           3           5   379.23752473357399        1.2627920678631177E-016  -43.439280020007622       -16.788657368590759        2.4813954052900109        8.4719863736163362E-020   1.5081650163152052E-008  0.99999998491834841     
 SOL           3           5   370.17878575002089        2.0560219653042447E-017  -45.230301313813719       -17.404830547186986        2.4813954122274642        1.4130404157509606E-020   8.1441966429466117E-009  0.99999999185580157     
 SOL           3           5   361.40040744839638        3.2019668452679089E-018  -47.064096292974519       -18.032585492006437        2.4813954160243799        2.2581227351084605E-021   4.3472812966700474E-009  0.99999999565271724     
